id,year,title,genre,description,language,rating
171,2008,"Ocean of Secrets 9","Animation","A marine researcher discovers evidence of something extraordinary beneath the sea. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.5
172,2009,"The Forgotten Kingdom 9","Comedy|Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.1
173,2010,"Laughing Matters 9","Crime","A struggling comedian finds a new purpose after an unexpected road trip. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.7
174,2011,"Crimson Evidence 9","Drama","A journalist investigates a case that powerful people want to keep hidden. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.3
175,2012,"Parallel Lives 9","Fantasy|Mystery","Two people in different realities discover that their choices are strangely connected. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",5.9
176,2013,"The Great Heist 9","Horror","A clever team plans an impossible museum robbery while a detective closes in. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",9.6
177,2014,"Moonlight Promise 9","Mystery","A chance meeting leads two people to reconsider the lives they thought they wanted. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.2
178,2015,"Robot Rebellion 9","Romance|Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.8
179,2016,"House of Whispers 9","Sci-Fi","A group of friends explores an abandoned mansion and uncovers its disturbing history. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.4
180,2017,"Road to Victory 9","Thriller","A coach rebuilds a struggling team and teaches its players to trust one another. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.0
181,2018,"Shadow Protocol 10","Action|Animation","A skilled operative uncovers a secret network threatening cities around the world. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.6
182,2019,"The Last Horizon 10","Adventure","A group of explorers travels beyond known space to search for a new home. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",7.2
183,2020,"Midnight Detective 10","Animation","A determined detective follows a chain of clues through a city full of secrets. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.8
184,2021,"Kingdom of Stars 10","Comedy|Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.4
185,2022,"Hearts in Monsoon 10","Crime","Two strangers meet during a rainy season and discover an unexpected connection. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.0
186,2023,"Code Runner 10","Drama","A programmer races against time after discovering a powerful digital conspiracy. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.7
187,2024,"Echoes of Time 10","Fantasy|Mystery","A mysterious artifact allows a historian to glimpse events from another century. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.3
188,2025,"The Silent House 10","Horror","A family moves into an old house where unexplained events begin every night. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",8.9
189,2026,"Beyond the Arena 10","Mystery","An underestimated athlete fights through setbacks to reach a national championship. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.5
190,2000,"City of Dreams 10","Romance|Drama","Friends chase ambitious dreams while navigating friendship, family and success. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.1
191,2001,"Ocean of Secrets 10","Sci-Fi","A marine researcher discovers evidence of something extraordinary beneath the sea. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.7
192,2002,"The Forgotten Kingdom 10","Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.3
193,2003,"Laughing Matters 10","Action|Animation","A struggling comedian finds a new purpose after an unexpected road trip. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.9
194,2004,"Crimson Evidence 10","Adventure","A journalist investigates a case that powerful people want to keep hidden. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",6.5
195,2005,"Parallel Lives 10","Animation","Two people in different realities discover that their choices are strangely connected. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.1
196,2006,"The Great Heist 10","Comedy|Thriller","A clever team plans an impossible museum robbery while a detective closes in. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.8
197,2007,"Moonlight Promise 10","Crime","A chance meeting leads two people to reconsider the lives they thought they wanted. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.4
198,2008,"Robot Rebellion 10","Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.0
199,2009,"House of Whispers 10","Fantasy|Mystery","A group of friends explores an abandoned mansion and uncovers its disturbing history. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.6
200,2010,"Road to Victory 10","Horror","A coach rebuilds a struggling team and teaches its players to trust one another. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",8.2
201,2026,"vishwanathan and his sons","Drama,love","best movie","English",10.0
